ADR;1000001;01/01/2024;2400011;0,00;0,00;
ITM;310;6,545;0,00;310
ITM;509;30,588;0,00;509
ITM;509;3,617;0,00;509
ITM;508;11,511;0,00;508
ITM;506;37,304;0,00;506
ITM;505;55,123;0,00;505
ITM;502;34,354;0,00;502
ITM;501;38,161;0,00;501
ITM;501;4,267;0,00;501
ITM;327;0,260;0,00;327
ITM;327;9,150;0,00;327
ITM;311;2,020;0,00;311
ITM;311;20,250;0,00;311
ITM;303;5,115;0,00;303
ITM;372;20,000;0,00;372
ITM;371;20,000;0,00;371
ITM;360;18,400;0,00;360
ITM;402;14,345;0,00;402
ITM;334;17,265;0,00;334
ITM;329;10,715;0,00;329
ITM;322;4,035;0,00;322
ITM;308;22,465;0,00;308
ITM;307;12,745;0,00;307
ITM;306;6,865;0,00;306
ITM;302;6,750;0,00;302
ITM;301;11,520;0,00;301
ITM;994;3,050;0,00;994
ITM;406;10,000;0,00;406
ITM;273;16,000;0,00;273
ITM;269;14,000;0,00;269
ITM;601;10,650;0,00;601
ITM;646;15,000;0,00;646
ITM;641;20,000;0,00;641
ITM;414;4,025;0,00;414
ITM;410;4,045;0,00;410
ITM;620;37,767;0,00;620
ITM;616;4,036;0,00;616
ITM;409;8,576;0,00;409
ITM;409;2,640;0,00;409
ITM;250;3,620;0,00;250
ITM;216;13,742;0,00;216
ITM;698;2,964;0,00;698
ITM;632;7,420;0,00;632
ITM;622;2,829;0,00;622
ITM;613;6,496;0,00;613
ITM;611;14,927;0,00;611
ITM;610;35,300;0,00;610
ITM;604;13,540;0,00;604
ITM;602;8,020;0,00;602
ITM;263;1,882;0,00;263
ITM;211;1,000;0,00;211
ITM;207;4,871;0,00;207
ITM;206;2,964;0,00;206
ITM;204;7,085;0,00;204
ITM;202;14,955;0,00;202
ITM;168;7,238;0,00;168
ITM;167;1,750;0,00;167
ITM;150;10,394;0,00;150
ITM;138;24,328;0,00;138
ITM;135;5,636;0,00;135
ITM;135;12,420;0,00;135
ITM;129;17,714;0,00;129
ITM;128;10,784;0,00;128
ITM;127;29,220;0,00;127
ITM;125;8,594;0,00;125
ITM;125;18,032;0,00;125
ITM;109;22,968;0,00;109
ITM;131;11,660;0,00;131
ITM;126;5,416;0,00;126
ITM;110;5,246;0,00;110
,00;131
ITM;131;7,488;0,00;131
ITM;126;4,950;0,00;126
ITM;124;12,996;0,00;124
ITM;111;5,118;0,00;111
ITM;110;5,294;0,00;110
ITM;110;2,362;0,00;110
