ADR;1020051;02/01/2024;2400029;0,00;0,00;
ITM;509;15,063;0,00;509
ITM;506;19,891;0,00;506
ITM;505;8,222;0,00;505
ITM;503;9,248;0,00;503
ITM;502;12,677;0,00;502
ITM;501;8,560;0,00;501
ITM;371;6,000;0,00;371
ITM;402;7,580;0,00;402
ITM;335;6,950;0,00;335
ITM;329;5,345;0,00;329
ITM;308;12,470;0,00;308
ITM;306;6,875;0,00;306
ITM;273;;0,00;273
ITM;273;8,000;0,00;273
ITM;269;1,000;0,00;269
ITM;269;8,000;0,00;269
ITM;601;5,250;0,00;601
ITM;640;10,000;0,00;640
ITM;624;2,550;0,00;624
ITM;621;2,285;0,00;621
ITM;414;2,435;0,00;414
ITM;410;0,485;0,00;410
ITM;616;4,180;0,00;616
ITM;609;4,030;0,00;609
ITM;409;4,124;0,00;409
ITM;250;3,578;0,00;250
ITM;216;3,680;0,00;216
ITM;698;1,572;0,00;698
ITM;632;1,210;0,00;632
ITM;623;2,472;0,00;623
ITM;622;1,717;0,00;622
ITM;613;6,019;0,00;613
ITM;611;2,402;0,00;611
ITM;611;2,222;0,00;611
ITM;610;11,940;0,00;610
ITM;604;5,740;0,00;604
ITM;263;1,837;0,00;263
ITM;207;1,717;0,00;207
ITM;206;1,447;0,00;206
ITM;205;4,580;0,00;205
ITM;204;6,105;0,00;204
ITM;202;7,290;0,00;202
ITM;168;1,227;0,00;168
ITM;162;4,572;0,00;162
ITM;213;4,000;0,00;213
ITM;214;3,636;0,00;214
ITM;149;3,838;0,00;149
ITM;135;6,588;0,00;135
ITM;129;8,856;0,00;129
ITM;128;5,664;0,00;128
ITM;131;14,728;0,00;131
ITM;110;1,208;0,00;110
ITM;110;1,364;0,00;110
