ADR;1028111;18/01/2024;2400222;0,00;0,00;
ITM;509;19,081;0,00;509
ITM;509;3,585;0,00;509
ITM;508;3,811;0,00;508
ITM;506;23,102;0,00;506
ITM;505;19,213;0,00;505
ITM;503;5,182;0,00;503
ITM;503;5,126;0,00;503
ITM;502;17,108;0,00;502
ITM;502;4,229;0,00;502
ITM;501;11,923;0,00;501
ITM;501;4,675;0,00;501
ITM;700;2,980;0,00;700
ITM;332;0,315;0,00;332
ITM;273;8,000;0,00;273
ITM;269;8,000;0,00;269
ITM;601;1,625;0,00;601
ITM;624;2,210;0,00;624
ITM;621;5,950;0,00;621
ITM;414;4,135;0,00;414
ITM;410;0,410;0,00;410
ITM;616;4,358;0,00;616
ITM;609;4,132;0,00;609
ITM;409;2,150;0,00;409
ITM;250;2,806;0,00;250
ITM;216;4,058;0,00;216
ITM;698;1,537;0,00;698
ITM;632;1,125;0,00;632
ITM;623;4,894;0,00;623
ITM;622;1,572;0,00;622
ITM;613;4,704;0,00;613
ITM;611;4,814;0,00;611
ITM;610;12,285;0,00;610
ITM;604;9,755;0,00;604
ITM;263;1,797;0,00;263
ITM;211;1,000;0,00;211
ITM;207;3,109;0,00;207
ITM;206;2,749;0,00;206
ITM;205;7,356;0,00;205
ITM;204;6,705;0,00;204
ITM;202;7,355;0,00;202
ITM;168;1,667;0,00;168
ITM;167;0,266;0,00;167
ITM;165;2,000;0,00;165
ITM;163;1,000;0,00;163
ITM;162;5,390;0,00;162
ITM;160;0,924;0,00;160
ITM;213;6,000;0,00;213
ITM;214;6,100;0,00;214
ITM;135;6,600;0,00;135
ITM;129;9,084;0,00;129
ITM;125;10,024;0,00;125
ITM;109;8,580;0,00;109
ITM;131;16,020;0,00;131
