ADR;1000001;19/01/2024;2400237;0,00;0,00;
ITM;350;1,750;0,00;350
ITM;509;37,497;0,00;509
ITM;509;4,385;0,00;509
ITM;508;15,684;0,00;508
ITM;506;28,490;0,00;506
ITM;506;4,023;0,00;506
ITM;506;3,623;0,00;506
ITM;506;3,919;0,00;506
ITM;505;30,819;0,00;505
ITM;502;39,508;0,00;502
ITM;502;3,469;0,00;502
ITM;501;28,643;0,00;501
ITM;308;41,630;0,00;308
ITM;601;9,800;0,00;601
ITM;624;3,800;0,00;624
ITM;621;5,070;0,00;621
ITM;414;6,520;0,00;414
ITM;410;0,835;0,00;410
ITM;606;4,118;0,00;
ITM;616;7,852;0,00;616
ITM;609;8,614;0,00;609
ITM;409;12,226;0,00;409
ITM;250;3,264;0,00;250
ITM;216;15,364;0,00;216
ITM;698;2,132;0,00;698
ITM;631;6,930;0,00;631
ITM;623;4,524;0,00;623
ITM;622;1,602;0,00;622
ITM;611;2,837;0,00;611
ITM;610;74,635;0,00;610
ITM;604;16,675;0,00;604
ITM;602;6,890;0,00;602
ITM;420;9,160;0,00;420
ITM;211;1,000;0,00;211
ITM;207;3,449;0,00;207
ITM;205;10,103;0,00;205
ITM;204;7,715;0,00;204
ITM;202;40,625;0,00;202
ITM;168;3,204;0,00;168
ITM;170;1,556;0,00;170
ITM;167;0,584;0,00;167
ITM;166;1,556;0,00;166
ITM;163;1,000;0,00;163
ITM;162;5,074;0,00;162
ITM;213;10,000;0,00;213
ITM;214;13,750;0,00;214
ITM;214;13,720;0,00;214
ITM;150;4,604;0,00;150
ITM;149;8,682;0,00;149
ITM;148;10,548;0,00;148
ITM;138;14,466;0,00;138
ITM;135;17,456;0,00;135
ITM;129;34,268;0,00;129
ITM;128;16,544;0,00;128
ITM;127;28,308;0,00;127
ITM;125;16,154;0,00;125
ITM;121;12,440;0,00;121
ITM;109;25,614;0,00;109
ITM;131;43,800;0,00;131
ITM;126;6,180;0,00;126
ITM;124;10,592;0,00;124
ITM;110;19,594;0,00;110
