ADR;1000001;05/01/2024;2400078;0,00;0,00;
ITM;350;2,650;0,00;350
ITM;509;16,284;0,00;509
ITM;509;3,887;0,00;509
ITM;509;4,127;0,00;509
ITM;508;;0,00;508
ITM;506;4,100;0,00;506
ITM;506;68,560;0,00;506
ITM;505;42,756;0,00;505
ITM;505;4,114;0,00;505
ITM;502;42,206;0,00;502
ITM;501;42,212;0,00;501
ITM;501;2,198;0,00;501
ITM;332;3,400;0,00;332
ITM;601;7,150;0,00;601
ITM;642;16,000;0,00;642
ITM;640;20,000;0,00;640
ITM;414;1,750;0,00;414
ITM;410;0,605;0,00;410
ITM;616;12,778;0,00;616
ITM;609;11,552;0,00;609
ITM;409;10,478;0,00;409
ITM;409;2,060;0,00;409
ITM;698;1,942;0,00;698
ITM;632;3,080;0,00;632
ITM;623;5,759;0,00;623
ITM;613;4,549;0,00;613
ITM;611;8,718;0,00;611
ITM;610;34,600;0,00;610
ITM;610;3,045;0,00;610
ITM;604;18,830;0,00;604
ITM;602;4,235;0,00;602
ITM;420;0,595;0,00;420
ITM;263;4,986;0,00;263
ITM;211;1,000;0,00;211
ITM;207;2,674;0,00;207
ITM;206;2,362;0,00;206
ITM;205;7,121;0,00;205
ITM;204;27,160;0,00;204
ITM;202;26,310;0,00;202
ITM;170;1,032;0,00;170
ITM;167;0,674;0,00;167
ITM;166;2,565;0,00;166
ITM;163;1,000;0,00;163
ITM;214;9,190;0,00;214
ITM;150;5,440;0,00;150
ITM;149;3,630;0,00;149
ITM;148;23,850;0,00;148
ITM;138;18,454;0,00;138
ITM;135;18,446;0,00;135
ITM;129;27,348;0,00;129
ITM;128;17,012;0,00;128
ITM;125;24,620;0,00;125
ITM;121;21,302;0,00;121
ITM;109;28,068;0,00;109
ITM;131;76,504;0,00;131
ITM;126;5,426;0,00;126
ITM;124;13,676;0,00;124
ITM;111;12,200;0,00;111
ITM;110;4,938;0,00;110
ITM;110;1,224;0,00;110
