ADR;1029111;19/01/2024;2400235;0,00;0,00;
ITM;350;3,514;0,00;350
ITM;509;73,676;0,00;509
ITM;508;7,478;0,00;508
ITM;508;4,162;0,00;508
ITM;506;53,507;0,00;506
ITM;505;70,296;0,00;505
ITM;503;24,222;0,00;503
ITM;502;77,786;0,00;502
ITM;501;32,392;0,00;501
ITM;501;12,285;0,00;501
ITM;327;8,665;0,00;327
ITM;361;2,916;0,00;361
ITM;700;6,395;0,00;700
ITM;402;10,465;0,00;402
ITM;329;16,370;0,00;329
ITM;308;26,980;0,00;308
ITM;306;13,835;0,00;306
ITM;301;5,170;0,00;301
ITM;406;10,000;0,00;406
ITM;601;1,670;0,00;601
ITM;624;2,088;0,00;624
ITM;624;2,100;0,00;624
ITM;621;5,185;0,00;621
ITM;414;5,937;0,00;414
ITM;410;0,575;0,00;410
ITM;409;9,518;0,00;409
ITM;698;3,314;0,00;698
ITM;632;5,015;0,00;632
ITM;631;3,310;0,00;631
ITM;623;11,630;0,00;623
ITM;613;8,058;0,00;613
ITM;611;21,226;0,00;611
ITM;610;40,635;0,00;610
ITM;604;24,980;0,00;604
ITM;602;7,160;0,00;602
ITM;420;1,130;0,00;420
ITM;263;5,706;0,00;263
ITM;211;1,000;0,00;211
ITM;207;4,916;0,00;207
ITM;206;3,199;0,00;206
ITM;205;14,622;0,00;205
ITM;204;14,470;0,00;204
ITM;202;21,676;0,00;202
ITM;168;4,911;0,00;168
ITM;926;6,480;0,00;926
ITM;922;18,615;0,00;922
ITM;920;23,497;0,00;920
ITM;170;1,132;0,00;170
ITM;167;2,032;0,00;167
ITM;166;2,042;0,00;166
ITM;165;1,000;0,00;165
ITM;213;30,000;0,00;213
ITM;214;12,130;0,00;214
ITM;148;7,432;0,00;148
ITM;138;11,828;0,00;138
ITM;135;11,692;0,00;135
ITM;129;31,318;0,00;129
ITM;128;10,980;0,00;128
ITM;127;45,738;0,00;127
ITM;125;11,878;0,00;125
ITM;109;31,390;0,00;109
ITM;131;62,076;0,00;131
ITM;131;7,680;0,00;131
ITM;126;5,488;0,00;126
ITM;124;7,292;0,00;124
ITM;110;14,450;0,00;110
