ADR;1029112;12/01/2024;2400140;0,00;0,00;
ITM;261;;0,00;
ITM;310;3,185;0,00;310
ITM;350;1,130;0,00;350
ITM;338;1,514;0,00;338
ITM;509;40,270;0,00;509
ITM;508;7,896;0,00;508
ITM;506;56,708;0,00;506
ITM;506;4,069;0,00;506
ITM;506;4,321;0,00;506
ITM;505;49,951;0,00;505
ITM;503;33,260;0,00;503
ITM;502;21,149;0,00;502
ITM;501;26,622;0,00;501
ITM;360;3,950;0,00;360
ITM;332;0,876;0,00;332
ITM;329;11,220;0,00;329
ITM;305;2,210;0,00;305
ITM;302;10,220;0,00;302
ITM;301;5,350;0,00;301
ITM;332;1,000;0,00;
ITM;286;20,000;0,00;286
ITM;601;6,300;0,00;601
ITM;451;1,360;0,00;451
ITM;651;6,000;0,00;651
ITM;624;2,275;0,00;624
ITM;621;5,440;0,00;621
ITM;414;6,720;0,00;414
ITM;609;7,878;0,00;609
ITM;409;2,246;0,00;409
ITM;250;6,634;0,00;250
ITM;216;11,048;0,00;216
ITM;698;1,722;0,00;698
ITM;632;7,400;0,00;632
ITM;623;9,643;0,00;623
ITM;622;4,836;0,00;622
ITM;613;7,041;0,00;613
ITM;613;2,397;0,00;613
ITM;611;7,036;0,00;611
ITM;610;20,355;0,00;610
ITM;610;3,465;0,00;610
ITM;610;4,160;0,00;610
ITM;610;3,455;0,00;610
ITM;604;6,758;0,00;604
ITM;602;8,880;0,00;602
ITM;420;1,244;0,00;420
ITM;263;5,081;0,00;263
ITM;211;1,000;0,00;211
ITM;207;7,535;0,00;207
ITM;206;3,134;0,00;206
ITM;205;11,780;0,00;205
ITM;204;6,775;0,00;204
ITM;202;18,790;0,00;202
ITM;168;8,635;0,00;168
ITM;267;10,000;0,00;267
ITM;170;0,978;0,00;170
ITM;167;0,604;0,00;167
ITM;166;2,550;0,00;166
ITM;162;5,640;0,00;162
ITM;213;60,000;0,00;213
ITM;214;23,430;0,00;214
ITM;150;5,588;0,00;150
ITM;149;8,284;0,00;149
ITM;138;7,134;0,00;138
ITM;135;10,378;0,00;135
ITM;129;23,024;0,00;129
ITM;127;40,330;0,00;127
ITM;125;22,586;0,00;125
ITM;121;18,138;0,00;121
ITM;109;32,980;0,00;109
ITM;131;28,398;0,00;131
ITM;126;4,786;0,00;126
ITM;124;6,692;0,00;124
ITM;110;12,492;0,00;110
ITM;110;0,614;0,00;110
