ADR;1000002;05/01/2024;2400077;0,00;0,00;
ITM;285;32,000;0,00;
ITM;284;32,000;0,00;
ITM;283;32,000;0,00;
ITM;282;32,000;0,00;
ITM;281;32,000;0,00;
ITM;278;32,000;0,00;
ITM;277;32,000;0,00;
ITM;265;32,000;0,00;
ITM;350;1,108;0,00;350
ITM;338;0,638;0,00;338
ITM;509;15,526;0,00;509
ITM;508;8,162;0,00;508
ITM;506;15,852;0,00;506
ITM;505;24,056;0,00;505
ITM;505;3,812;0,00;505
ITM;503;19,918;0,00;503
ITM;503;5,606;0,00;503
ITM;502;94,754;0,00;502
ITM;501;20,191;0,00;501
ITM;327;18,685;0,00;327
ITM;325;2,606;0,00;325
ITM;324;2,608;0,00;324
ITM;303;2,385;0,00;303
ITM;373;6,000;0,00;373
ITM;372;6,000;0,00;372
ITM;402;8,675;0,00;402
ITM;336;1,924;0,00;336
ITM;329;20,925;0,00;329
ITM;308;10,415;0,00;308
ITM;301;2,295;0,00;301
ITM;301;1,855;0,00;301
ITM;994;2,656;0,00;994
ITM;406;12,000;0,00;406
ITM;268;6,000;0,00;268
ITM;664;8,600;0,00;
ITM;601;2,350;0,00;601
ITM;405;8,000;0,00;405
ITM;642;10,000;0,00;642
ITM;640;10,000;0,00;640
ITM;624;5,160;0,00;624
ITM;621;4,850;0,00;621
ITM;414;5,910;0,00;414
ITM;410;0,390;0,00;410
ITM;620;12,830;0,00;
ITM;225;7,650;0,00;
ITM;616;8,318;0,00;616
ITM;609;8,178;0,00;609
ITM;409;4,482;0,00;409
ITM;250;7,206;0,00;250
ITM;698;1,917;0,00;698
ITM;632;1,095;0,00;632
ITM;631;2,950;0,00;631
ITM;623;7,221;0,00;623
ITM;622;3,764;0,00;622
ITM;613;11,065;0,00;613
ITM;611;6,086;0,00;611
ITM;610;19,945;0,00;610
ITM;604;15,055;0,00;604
ITM;602;3,640;0,00;602
ITM;420;0,585;0,00;420
ITM;263;1,682;0,00;263
ITM;211;1,000;0,00;211
ITM;207;2,829;0,00;207
ITM;206;1,482;0,00;206
ITM;204;14,905;0,00;204
ITM;202;14,205;0,00;202
ITM;168;3,014;0,00;168
ITM;550;3,050;0,00;550
ITM;926;11,096;0,00;926
ITM;922;10,530;0,00;922
ITM;921;9,450;0,00;921
ITM;920;30,800;0,00;920
ITM;166;1,075;0,00;166
ITM;162;4,924;0,00;162
ITM;128;8,330;0,00;128
ITM;110;2,840;0,00;110
