ADR;1020051;16/01/2024;2400189;0,00;0,00;
ITM;509;11,551;0,00;509
ITM;508;4,000;0,00;508
ITM;508;3,727;0,00;508
ITM;506;14,174;0,00;506
ITM;506;4,023;0,00;506
ITM;506;3,489;0,00;506
ITM;505;15,034;0,00;505
ITM;502;11,911;0,00;502
ITM;501;8,600;0,00;501
ITM;501;4,620;0,00;501
ITM;303;5,015;0,00;303
ITM;371;4,000;0,00;371
ITM;334;6,920;0,00;334
ITM;308;12,460;0,00;308
ITM;302;6,800;0,00;302
ITM;994;2,616;0,00;994
ITM;601;3,306;0,00;601
ITM;624;2,330;0,00;624
ITM;621;2,625;0,00;621
ITM;414;3,955;0,00;414
ITM;410;0,450;0,00;410
ITM;616;4,232;0,00;616
ITM;609;4,162;0,00;609
ITM;409;2,336;0,00;409
ITM;250;1,386;0,00;250
ITM;216;3,818;0,00;216
ITM;632;1,125;0,00;632
ITM;623;2,587;0,00;623
ITM;622;2,477;0,00;622
ITM;613;4,650;0,00;613
ITM;611;4,576;0,00;611
ITM;610;7,379;0,00;610
ITM;604;6,815;0,00;604
ITM;263;2,122;0,00;263
ITM;211;1,000;0,00;211
ITM;207;1,562;0,00;207
ITM;206;1,649;0,00;206
ITM;205;2,755;0,00;205
ITM;204;3,690;0,00;204
ITM;202;7,680;0,00;202
ITM;168;1,802;0,00;168
ITM;213;4,000;0,00;213
ITM;214;6,770;0,00;214
ITM;149;4,318;0,00;149
ITM;148;4,542;0,00;148
ITM;135;12,216;0,00;135
ITM;131;19,828;0,00;131
