ADR;1029111;04/01/2024;2400063;0,00;0,00;
ITM;509;31,619;0,00;509
ITM;508;3,789;0,00;508
ITM;506;77,971;0,00;506
ITM;505;45,790;0,00;505
ITM;503;22,758;0,00;503
ITM;502;63,537;0,00;502
ITM;501;51,666;0,00;501
ITM;335;6,945;0,00;335
ITM;334;10,370;0,00;334
ITM;329;14,255;0,00;329
ITM;308;24,660;0,00;308
ITM;306;20,705;0,00;306
ITM;302;13,520;0,00;302
ITM;406;10,000;0,00;406
ITM;268;25,000;0,00;268
ITM;463;6,625;0,00;463
ITM;405;15,000;0,00;405
ITM;642;16,000;0,00;642
ITM;641;16,000;0,00;641
ITM;640;16,000;0,00;640
ITM;414;5,755;0,00;414
ITM;410;4,245;0,00;410
ITM;409;7,188;0,00;409
ITM;698;1,567;0,00;698
ITM;632;3,985;0,00;632
ITM;623;17,414;0,00;623
ITM;622;7,190;0,00;622
ITM;613;7,001;0,00;613
ITM;611;13,277;0,00;611
ITM;610;75,410;0,00;610
ITM;604;21,005;0,00;604
ITM;602;15,380;0,00;602
ITM;263;3,429;0,00;263
ITM;211;2,000;0,00;211
ITM;207;1,462;0,00;207
ITM;205;16,674;0,00;205
ITM;205;2,182;0,00;205
ITM;204;11,710;0,00;204
ITM;202;42,710;0,00;202
ITM;168;9,537;0,00;168
ITM;165;6,000;0,00;165
ITM;163;2,000;0,00;163
ITM;162;4,256;0,00;162
ITM;132;1,224;0,00;132
ITM;213;26,000;0,00;213
ITM;214;10,130;0,00;214
ITM;150;4,852;0,00;150
ITM;149;3,868;0,00;149
ITM;138;13,934;0,00;138
ITM;135;16,776;0,00;135
ITM;130;7,186;0,00;130
ITM;129;25,404;0,00;129
ITM;128;8,744;0,00;128
ITM;128;4,526;0,00;128
ITM;128;10,812;0,00;128
ITM;125;26,478;0,00;125
ITM;121;7,846;0,00;121
ITM;109;57,736;0,00;109
ITM;131;66,952;0,00;131
ITM;131;6,752;0,00;131
ITM;124;9,762;0,00;124
ITM;124;2,190;0,00;124
ITM;110;4,442;0,00;110
