ADR;1020051;18/01/2024;2400219;0,00;0,00;
ITM;285;6,000;0,00;
ITM;284;6,000;0,00;
ITM;277;10,000;0,00;
ITM;261;;0,00;
ITM;509;15,040;0,00;509
ITM;508;3,459;0,00;508
ITM;506;22,206;0,00;506
ITM;505;18,921;0,00;505
ITM;503;21,298;0,00;503
ITM;502;47,326;0,00;502
ITM;501;17,608;0,00;501
ITM;360;4,264;0,00;360
ITM;322;4,075;0,00;322
ITM;306;6,970;0,00;306
ITM;888;8,235;0,00;888
ITM;273;8,000;0,00;273
ITM;269;8,000;0,00;269
ITM;660;4,498;0,00;
ITM;601;1,510;0,00;601
ITM;624;4,486;0,00;624
ITM;621;5,435;0,00;621
ITM;414;4,056;0,00;414
ITM;410;0,425;0,00;410
ITM;620;7,895;0,00;
ITM;619;3,944;0,00;
ITM;618;3,950;0,00;
ITM;616;8,332;0,00;616
ITM;609;4,086;0,00;609
ITM;409;5,858;0,00;409
ITM;250;1,656;0,00;250
ITM;216;4,058;0,00;216
ITM;698;1,647;0,00;698
ITM;632;1,090;0,00;632
ITM;623;4,754;0,00;623
ITM;622;2,959;0,00;622
ITM;613;6,756;0,00;613
ITM;611;4,649;0,00;611
ITM;610;11,385;0,00;610
ITM;604;9,930;0,00;604
ITM;420;1,488;0,00;420
ITM;263;1,937;0,00;263
ITM;211;1,000;0,00;211
ITM;207;2,714;0,00;207
ITM;206;1,327;0,00;206
ITM;205;4,574;0,00;205
ITM;204;6,690;0,00;204
ITM;202;10,585;0,00;202
ITM;168;1,627;0,00;168
ITM;550;2,100;0,00;550
ITM;926;4,730;0,00;926
ITM;167;0,640;0,00;167
ITM;162;4,932;0,00;162
ITM;213;5,000;0,00;213
ITM;214;8,120;0,00;214
ITM;135;10,700;0,00;135
ITM;129;9,020;0,00;129
ITM;125;7,510;0,00;125
ITM;109;15,888;0,00;109
ITM;131;11,456;0,00;131
ITM;124;6,382;0,00;124
ITM;110;4,512;0,00;110
