ADR;1028112;08/01/2024;2400085;0,00;0,00;
ITM;350;1,450;0,00;350
ITM;338;1,286;0,00;338
ITM;509;27,669;0,00;509
ITM;508;7,512;0,00;508
ITM;506;44,771;0,00;506
ITM;505;48,730;0,00;505
ITM;503;5,372;0,00;503
ITM;502;24,152;0,00;502
ITM;501;25,460;0,00;501
ITM;371;12,000;0,00;371
ITM;360;13,200;0,00;360
ITM;329;20,815;0,00;329
ITM;306;6,940;0,00;306
ITM;302;6,745;0,00;302
ITM;406;6,000;0,00;406
ITM;601;4,000;0,00;601
ITM;655;4,000;0,00;
ITM;640;15,000;0,00;640
ITM;624;4,205;0,00;624
ITM;621;4,329;0,00;621
ITM;414;6,060;0,00;414
ITM;410;0,885;0,00;410
ITM;616;12,245;0,00;616
ITM;409;4,752;0,00;409
ITM;250;2,236;0,00;250
ITM;216;5,440;0,00;216
ITM;698;1,542;0,00;698
ITM;631;2,565;0,00;631
ITM;623;6,326;0,00;623
ITM;622;4,786;0,00;622
ITM;613;8,343;0,00;613
ITM;611;6,511;0,00;611
ITM;610;24,690;0,00;610
ITM;604;14,730;0,00;604
ITM;602;3,955;0,00;602
ITM;420;2,570;0,00;420
ITM;211;1,000;0,00;211
ITM;204;6,385;0,00;204
ITM;202;10,610;0,00;202
ITM;168;3,374;0,00;168
ITM;922;9,175;0,00;922
ITM;921;10,140;0,00;921
ITM;162;5,456;0,00;162
ITM;160;1,308;0,00;160
ITM;213;15,000;0,00;213
ITM;214;34,120;0,00;214
ITM;149;33,716;0,00;149
ITM;148;10,774;0,00;148
ITM;148;1,968;0,00;148
ITM;135;5,654;0,00;135
ITM;129;13,894;0,00;129
ITM;128;15,759;0,00;128
ITM;125;11,410;0,00;125
ITM;121;6,382;0,00;121
ITM;121;7,550;0,00;121
ITM;109;21,592;0,00;109
ITM;131;50,502;0,00;131
ITM;126;5,520;0,00;126
ITM;110;3,578;0,00;110
