ADR;1000002;16/01/2024;2400191;0,00;0,00;
ITM;310;3,190;0,00;310
ITM;509;8,086;0,00;509
ITM;509;8,255;0,00;509
ITM;506;16,190;0,00;506
ITM;506;4,089;0,00;506
ITM;505;15,796;0,00;505
ITM;505;7,676;0,00;505
ITM;503;6,042;0,00;503
ITM;503;10,978;0,00;503
ITM;502;25,236;0,00;502
ITM;502;4,293;0,00;502
ITM;501;7,700;0,00;501
ITM;501;4,116;0,00;501
ITM;327;11,240;0,00;327
ITM;325;2,732;0,00;325
ITM;311;4,040;0,00;311
ITM;372;6,000;0,00;372
ITM;360;6,805;0,00;360
ITM;402;4,525;0,00;402
ITM;335;3,455;0,00;335
ITM;334;3,460;0,00;334
ITM;332;0,834;0,00;332
ITM;329;35,835;0,00;329
ITM;308;10,310;0,00;308
ITM;307;2,325;0,00;307
ITM;305;2,215;0,00;305
ITM;302;3,395;0,00;302
ITM;301;3,645;0,00;301
ITM;601;2,416;0,00;601
ITM;463;3,575;0,00;463
ITM;405;10,000;0,00;405
ITM;624;4,810;0,00;624
ITM;621;5,710;0,00;621
ITM;414;3,840;0,00;414
ITM;410;0,640;0,00;410
ITM;616;8,338;0,00;616
ITM;609;8,662;0,00;609
ITM;409;1,796;0,00;409
ITM;250;4,550;0,00;250
ITM;216;7,150;0,00;216
ITM;698;1,322;0,00;698
ITM;632;2,940;0,00;632
ITM;623;2,717;0,00;623
ITM;622;4,879;0,00;622
ITM;613;5,179;0,00;613
ITM;611;5,064;0,00;611
ITM;610;7,002;0,00;610
ITM;610;11,352;0,00;610
ITM;604;12,400;0,00;604
ITM;263;1,757;0,00;263
ITM;211;1,000;0,00;211
ITM;207;1,787;0,00;207
ITM;206;1,622;0,00;206
ITM;205;11,692;0,00;205
ITM;204;14,785;0,00;204
ITM;202;19,605;0,00;202
ITM;168;3,494;0,00;168
ITM;991;1,000;0,00;991
ITM;165;4,000;0,00;165
ITM;213;10,000;0,00;213
ITM;214;12,300;0,00;214
ITM;148;3,148;0,00;148
ITM;128;5,580;0,00;128
ITM;131;12,960;0,00;131
ITM;126;4,634;0,00;126
ITM;124;1,304;0,00;124
ITM;124;1,250;0,00;124
ITM;110;2,586;0,00;110
ITM;110;1,102;0,00;110
