ADR;1028112;18/01/2024;2400226;0,00;0,00;
ITM;684;25,000;0,00;
ITM;285;6,000;0,00;
ITM;282;15,000;0,00;
ITM;281;10,000;0,00;
ITM;279;10,000;0,00;
ITM;277;8,000;0,00;
ITM;276;5,000;0,00;
ITM;275;5,000;0,00;
ITM;254;6,000;0,00;
ITM;313;3,770;0,00;313
ITM;350;1,774;0,00;350
ITM;509;22,874;0,00;509
ITM;508;3,820;0,00;508
ITM;506;31,766;0,00;506
ITM;505;23,088;0,00;505
ITM;503;11,058;0,00;503
ITM;502;32,374;0,00;502
ITM;501;17,762;0,00;501
ITM;329;16,830;0,00;329
ITM;888;6,220;0,00;888
ITM;273;8,000;0,00;273
ITM;269;8,000;0,00;269
ITM;662;8,000;0,00;
ITM;660;12,950;0,00;
ITM;601;3,950;0,00;601
ITM;624;2,154;0,00;624
ITM;621;2,570;0,00;621
ITM;414;2,077;0,00;414
ITM;410;1,758;0,00;410
ITM;620;7,945;0,00;
ITM;619;5,916;0,00;
ITM;606;4,378;0,00;
ITM;250;2,270;0,00;
ITM;226;4,880;0,00;
ITM;225;3,862;0,00;
ITM;616;4,316;0,00;616
ITM;609;4,162;0,00;609
ITM;409;2,930;0,00;409
ITM;216;7,560;0,00;216
ITM;698;3,402;0,00;698
ITM;623;2,341;0,00;623
ITM;622;4,753;0,00;622
ITM;613;4,354;0,00;613
ITM;611;8,245;0,00;611
ITM;610;22,056;0,00;610
ITM;604;15,617;0,00;604
ITM;602;10,470;0,00;602
ITM;420;2,092;0,00;420
ITM;263;1,933;0,00;263
ITM;211;1,000;0,00;211
ITM;207;4,129;0,00;207
ITM;206;5,944;0,00;206
ITM;205;14,533;0,00;205
ITM;204;6,692;0,00;204
ITM;202;21,537;0,00;202
ITM;168;6,470;0,00;168
ITM;166;1,015;0,00;166
ITM;165;2,000;0,00;165
ITM;160;1,374;0,00;160
ITM;213;10,000;0,00;213
ITM;214;19,890;0,00;214
ITM;214;11,780;0,00;214
ITM;149;23,300;0,00;149
ITM;148;32,086;0,00;148
ITM;130;18,010;0,00;130
ITM;128;10,628;0,00;128
ITM;121;16,160;0,00;121
ITM;109;8,676;0,00;109
ITM;109;8,070;0,00;109
ITM;131;58,462;0,00;131
ITM;126;9,256;0,00;126
ITM;111;16,808;0,00;111
ITM;110;13,610;0,00;110
