ADR;1029112;01/01/2024;2400003;0,00;0,00;
ITM;684;10,000;0,00;684
ITM;683;6,000;0,00;683
ITM;682;10,000;0,00;682
ITM;295;10,000;0,00;295
ITM;279;10,000;0,00;
ITM;285;10,000;0,00;285
ITM;282;10,000;0,00;282
ITM;270;10,000;0,00;270
ITM;255;10,000;0,00;255
ITM;310;9,760;0,00;310
ITM;350;3,700;0,00;350
ITM;509;53,302;0,00;509
ITM;508;19,077;0,00;508
ITM;506;50,922;0,00;506
ITM;505;48,119;0,00;505
ITM;502;52,020;0,00;502
ITM;501;47,653;0,00;501
ITM;325;6,400;0,00;325
ITM;324;10,000;0,00;324
ITM;311;8,115;0,00;311
ITM;371;10,000;0,00;371
ITM;361;7,520;0,00;361
ITM;360;27,850;0,00;360
ITM;700;6,150;0,00;700
ITM;334;3,490;0,00;334
ITM;329;10,330;0,00;329
ITM;322;6,035;0,00;322
ITM;308;20,515;0,00;308
ITM;307;2,445;0,00;307
ITM;306;6,915;0,00;306
ITM;305;4,505;0,00;305
ITM;302;6,770;0,00;302
ITM;301;4,990;0,00;301
ITM;332;1,750;0,00;
ITM;994;7,450;0,00;994
ITM;406;15,000;0,00;406
ITM;286;20,000;0,00;286
ITM;273;16,000;0,00;273
ITM;269;15,000;0,00;269
ITM;663;3,500;0,00;663
ITM;601;8,000;0,00;601
ITM;463;3,045;0,00;463
ITM;654;3,000;0,00;654
ITM;655;3,000;0,00;
ITM;646;10,000;0,00;646
ITM;642;24,000;0,00;642
ITM;642;24,000;0,00;642
ITM;624;4,595;0,00;624
ITM;621;2,300;0,00;621
ITM;414;5,815;0,00;414
ITM;410;4,450;0,00;410
ITM;620;12,855;0,00;
ITM;619;12,185;0,00;
ITM;618;12,438;0,00;
ITM;616;11,732;0,00;616
ITM;609;11,580;0,00;609
ITM;409;6,524;0,00;409
ITM;250;7,322;0,00;250
ITM;216;14,218;0,00;216
ITM;698;4,596;0,00;698
ITM;632;2,415;0,00;632
ITM;631;3,185;0,00;631
ITM;623;4,599;0,00;623
ITM;622;3,996;0,00;622
ITM;613;9,898;0,00;613
ITM;611;11,570;0,00;611
ITM;610;21,145;0,00;610
ITM;604;5,635;0,00;604
ITM;602;15,040;0,00;602
ITM;420;3,400;0,00;420
ITM;263;7,273;0,00;263
ITM;211;2,000;0,00;211
ITM;207;6,120;0,00;207
ITM;206;4,321;0,00;206
ITM;204;7,130;0,00;204
ITM;202;11,330;0,00;202
ITM;168;6,018;0,00;168
ITM;150;5,626;0,00;150
ITM;149;4,208;0,00;149
ITM;148;21,966;0,00;148
ITM;138;16,070;0,00;138
ITM;135;18,094;0,00;135
ITM;129;26,988;0,00;129
ITM;128;4,076;0,00;128
ITM;125;24,260;0,00;125
ITM;121;6,458;0,00;121
ITM;109;32,616;0,00;109
ITM;131;33,242;0,00;131
ITM;126;4,982;0,00;126
ITM;124;3,878;0,00;124
ITM;110;5,810;0,00;110
