ADR;1029111;05/01/2024;2400074;0,00;0,00;
ITM;310;12,990;0,00;310
ITM;350;2,600;0,00;350
ITM;338;1,000;0,00;338
ITM;509;11,245;0,00;509
ITM;509;3,915;0,00;509
ITM;508;7,744;0,00;508
ITM;506;24,702;0,00;506
ITM;506;4,559;0,00;506
ITM;506;4,467;0,00;506
ITM;506;4,439;0,00;506
ITM;506;4,007;0,00;506
ITM;505;31,420;0,00;505
ITM;503;37,334;0,00;503
ITM;502;43,060;0,00;502
ITM;501;20,469;0,00;501
ITM;327;6,355;0,00;327
ITM;311;8,040;0,00;311
ITM;303;14,795;0,00;303
ITM;372;6,000;0,00;372
ITM;700;6,050;0,00;700
ITM;308;20,900;0,00;308
ITM;301;4,210;0,00;301
ITM;994;8,260;0,00;994
ITM;888;5,345;0,00;888
ITM;601;12,550;0,00;601
ITM;405;15,000;0,00;405
ITM;642;14,000;0,00;642
ITM;624;6,680;0,00;624
ITM;621;4,670;0,00;621
ITM;414;6,315;0,00;414
ITM;410;2,685;0,00;410
ITM;409;7,474;0,00;409
ITM;698;3,429;0,00;698
ITM;632;3,390;0,00;632
ITM;632;2,870;0,00;632
ITM;631;3,240;0,00;631
ITM;623;14,960;0,00;623
ITM;622;11,107;0,00;622
ITM;613;19,131;0,00;613
ITM;611;9,990;0,00;611
ITM;610;46,095;0,00;610
ITM;604;31,555;0,00;604
ITM;602;7,415;0,00;602
ITM;420;1,600;0,00;420
ITM;263;3,269;0,00;263
ITM;211;1,000;0,00;211
ITM;207;2,979;0,00;207
ITM;206;3,179;0,00;206
ITM;205;15,527;0,00;205
ITM;204;24,865;0,00;204
ITM;202;16,905;0,00;202
ITM;168;1,537;0,00;168
ITM;922;14,440;0,00;922
ITM;920;31,581;0,00;920
ITM;800;1,406;0,00;800
ITM;170;1,288;0,00;170
ITM;167;0,570;0,00;167
ITM;166;2,100;0,00;166
ITM;165;2,000;0,00;165
ITM;163;2,000;0,00;163
ITM;163;2,000;0,00;163
ITM;162;3,488;0,00;162
ITM;213;20,000;0,00;213
ITM;214;22,960;0,00;214
ITM;149;3,800;0,00;149
ITM;148;14,128;0,00;148
ITM;135;11,320;0,00;135
ITM;129;16,962;0,00;129
ITM;125;18,254;0,00;125
ITM;109;40,792;0,00;109
ITM;131;73,884;0,00;131
ITM;126;5,116;0,00;126
ITM;110;6,728;0,00;110
