ADR;1029112;22/01/2024;2400244;0,00;0,00;
ITM;313;5,040;0,00;313
ITM;310;9,750;0,00;310
ITM;350;2,300;0,00;350
ITM;509;24,294;0,00;509
ITM;506;16,172;0,00;506
ITM;503;44,930;0,00;503
ITM;501;24,590;0,00;501
ITM;325;5,722;0,00;325
ITM;324;5,348;0,00;324
ITM;311;6,075;0,00;311
ITM;303;2,380;0,00;303
ITM;372;10,000;0,00;372
ITM;360;6,625;0,00;360
ITM;335;10,395;0,00;335
ITM;322;6,220;0,00;322
ITM;302;3,365;0,00;302
ITM;301;8,285;0,00;301
ITM;994;2,872;0,00;994
ITM;406;4,000;0,00;406
ITM;405;10,000;0,00;405
ITM;624;1,945;0,00;624
ITM;621;2,430;0,00;621
ITM;414;3,940;0,00;414
ITM;620;25,554;0,00;
ITM;616;8,472;0,00;616
ITM;609;4,222;0,00;609
ITM;250;4,572;0,00;250
ITM;216;11,336;0,00;216
ITM;698;6,378;0,00;698
ITM;632;4,805;0,00;632
ITM;622;6,788;0,00;622
ITM;613;4,384;0,00;613
ITM;611;7,061;0,00;611
ITM;610;7,715;0,00;610
ITM;604;10,420;0,00;604
ITM;602;11,390;0,00;602
ITM;263;6,558;0,00;263
ITM;211;2,000;0,00;211
ITM;207;6,263;0,00;207
ITM;206;4,016;0,00;206
ITM;204;10,805;0,00;204
ITM;202;11,410;0,00;202
ITM;168;8,060;0,00;168
ITM;922;8,620;0,00;922
ITM;148;17,342;0,00;148
