ADR;1028112;16/01/2024;2400174;0,00;0,00;
ITM;509;20,865;0,00;509
ITM;509;3,800;0,00;509
ITM;509;3,900;0,00;509
ITM;508;7,288;0,00;508
ITM;506;42,411;0,00;506
ITM;506;3,911;0,00;506
ITM;505;47,811;0,00;505
ITM;503;22,752;0,00;503
ITM;502;29,751;0,00;502
ITM;501;25,020;0,00;501
ITM;327;14,880;0,00;327
ITM;360;17,525;0,00;360
ITM;402;11,115;0,00;402
ITM;334;3,475;0,00;334
ITM;329;22,720;0,00;329
ITM;307;2,305;0,00;307
ITM;306;6,930;0,00;306
ITM;306;3,438;0,00;306
ITM;301;1,555;0,00;301
ITM;406;5,000;0,00;406
ITM;601;2,465;0,00;601
ITM;651;5,000;0,00;651
ITM;642;8,000;0,00;642
ITM;640;10,000;0,00;640
ITM;624;2,425;0,00;624
ITM;621;5,215;0,00;621
ITM;414;1,975;0,00;414
ITM;410;2,010;0,00;410
ITM;616;8,314;0,00;616
ITM;609;4,204;0,00;609
ITM;409;2,136;0,00;409
ITM;250;4,490;0,00;250
ITM;216;7,578;0,00;216
ITM;698;1,227;0,00;698
ITM;632;2,350;0,00;632
ITM;631;2,600;0,00;631
ITM;623;4,449;0,00;623
ITM;622;7,086;0,00;622
ITM;613;7,101;0,00;613
ITM;611;7,021;0,00;611
ITM;610;22,680;0,00;610
ITM;610;3,900;0,00;610
ITM;604;12,410;0,00;604
ITM;602;10,150;0,00;602
ITM;263;3,264;0,00;263
ITM;211;2,000;0,00;211
ITM;207;2,614;0,00;207
ITM;206;2,849;0,00;206
ITM;205;6,531;0,00;205
ITM;204;11,225;0,00;204
ITM;202;11,955;0,00;202
ITM;168;5,046;0,00;168
ITM;926;3,870;0,00;926
ITM;922;4,920;0,00;922
ITM;267;5,000;0,00;267
ITM;991;1,000;0,00;991
ITM;162;5,586;0,00;162
ITM;160;1,316;0,00;160
ITM;132;4,106;0,00;132
ITM;213;15,000;0,00;213
ITM;214;19,950;0,00;214
ITM;214;12,140;0,00;214
ITM;148;9,506;0,00;148
ITM;148;7,850;0,00;148
ITM;148;6,788;0,00;148
ITM;148;7,810;0,00;148
ITM;138;16,708;0,00;138
ITM;135;5,422;0,00;135
ITM;129;9,068;0,00;129
ITM;128;15,048;0,00;128
ITM;125;8,850;0,00;125
ITM;121;21,390;0,00;121
ITM;109;25,492;0,00;109
ITM;131;57,820;0,00;131
ITM;126;5,614;0,00;126
ITM;124;14,846;0,00;124
ITM;124;2,982;0,00;124
ITM;110;10,124;0,00;110
