ADR;1029111;01/01/2024;2400066;0,00;0,00;
ITM;350;3,700;0,00;350
ITM;509;38,046;0,00;509
ITM;508;11,601;0,00;508
ITM;506;37,162;0,00;506
ITM;505;44,390;0,00;505
ITM;503;29,572;0,00;503
ITM;502;42,030;0,00;502
ITM;501;44,430;0,00;501
ITM;311;12,120;0,00;311
ITM;372;10,000;0,00;372
ITM;361;7,200;0,00;361
ITM;334;15,290;0,00;334
ITM;306;13,735;0,00;306
ITM;302;3,400;0,00;302
ITM;301;7,225;0,00;301
ITM;994;6,100;0,00;994
ITM;406;15,000;0,00;406
ITM;273;16,000;0,00;273
ITM;269;15,000;0,00;269
ITM;191;1,000;0,00;191
ITM;601;10,250;0,00;601
ITM;642;7,000;0,00;642
ITM;624;11,440;0,00;624
ITM;621;9,980;0,00;621
ITM;410;4,390;0,00;410
ITM;409;8,442;0,00;409
ITM;632;7,280;0,00;632
ITM;631;3,575;0,00;631
ITM;623;5,149;0,00;623
ITM;622;4,546;0,00;622
ITM;613;12,697;0,00;613
ITM;611;8,553;0,00;611
ITM;610;20,535;0,00;610
ITM;604;10,980;0,00;604
ITM;263;3,664;0,00;263
ITM;207;5,848;0,00;207
ITM;206;2,844;0,00;206
ITM;204;15,815;0,00;204
ITM;168;5,246;0,00;168
