ADR;1029111;12/01/2024;2400141;0,00;0,00;
ITM;509;22,788;0,00;509
ITM;508;3,893;0,00;508
ITM;506;29,610;0,00;506
ITM;506;3,367;0,00;506
ITM;505;51,683;0,00;505
ITM;503;43,926;0,00;503
ITM;502;70,453;0,00;502
ITM;502;4,457;0,00;502
ITM;501;43,448;0,00;501
ITM;501;3,468;0,00;501
ITM;700;6,205;0,00;700
ITM;601;4,950;0,00;601
ITM;451;5,385;0,00;451
ITM;414;2,420;0,00;414
ITM;410;2,225;0,00;410
ITM;409;4,276;0,00;409
ITM;698;1,562;0,00;698
ITM;698;1,672;0,00;698
ITM;632;7,910;0,00;632
ITM;631;3,470;0,00;631
ITM;623;10,028;0,00;623
ITM;622;3,244;0,00;622
ITM;613;7,461;0,00;613
ITM;611;5,974;0,00;611
ITM;611;2,436;0,00;611
ITM;610;10,975;0,00;610
ITM;604;21,072;0,00;604
ITM;602;4,615;0,00;602
ITM;420;1,400;0,00;420
ITM;211;1,000;0,00;211
ITM;207;1,547;0,00;207
ITM;206;1,512;0,00;206
ITM;205;4,739;0,00;205
ITM;204;10,660;0,00;204
ITM;202;8,055;0,00;202
ITM;168;1,697;0,00;168
ITM;550;3,065;0,00;550
ITM;267;;0,00;267
ITM;170;1,882;0,00;170
ITM;167;0,732;0,00;167
ITM;163;2,000;0,00;163
ITM;162;5,136;0,00;162
ITM;160;1,082;0,00;160
ITM;132;1,958;0,00;132
ITM;213;30,000;0,00;213
ITM;150;11,698;0,00;150
ITM;148;14,412;0,00;148
ITM;135;12,446;0,00;135
ITM;129;26,540;0,00;129
ITM;128;30,998;0,00;128
ITM;127;45,626;0,00;127
ITM;125;17,438;0,00;125
ITM;125;9,710;0,00;125
ITM;121;34,956;0,00;121
ITM;109;47,692;0,00;109
ITM;131;31,638;0,00;131
ITM;131;7,916;0,00;131
ITM;131;5,026;0,00;131
ITM;131;8,782;0,00;131
ITM;126;5,096;0,00;126
ITM;124;28,726;0,00;124
ITM;110;16,362;0,00;110
