ADR;1028111;09/01/2024;2400102;0,00;0,00;
ITM;310;3,180;0,00;310
ITM;350;0,385;0,00;350
ITM;509;15,806;0,00;509
ITM;508;3,511;0,00;508
ITM;506;24,020;0,00;506
ITM;505;11,639;0,00;505
ITM;503;5,448;0,00;503
ITM;502;12,615;0,00;502
ITM;501;4,669;0,00;501
ITM;327;3,952;0,00;327
ITM;335;3,480;0,00;335
ITM;334;3,465;0,00;334
ITM;332;0,335;0,00;332
ITM;306;3,480;0,00;306
ITM;305;4,490;0,00;305
ITM;302;3,385;0,00;302
ITM;994;2,000;0,00;994
ITM;888;5,570;0,00;888
ITM;406;6,000;0,00;406
ITM;224;4,800;0,00;224
ITM;223;4,575;0,00;223
ITM;601;2,455;0,00;601
ITM;451;2,170;0,00;451
ITM;641;6,000;0,00;641
ITM;624;2,425;0,00;624
ITM;621;2,790;0,00;621
ITM;414;4,470;0,00;414
ITM;410;0,425;0,00;410
ITM;616;4,182;0,00;616
ITM;409;2,138;0,00;409
ITM;698;1,402;0,00;698
ITM;632;1,145;0,00;632
ITM;623;2,447;0,00;623
ITM;622;3,439;0,00;622
ITM;613;2,537;0,00;613
ITM;611;2,172;0,00;611
ITM;610;17,455;0,00;610
ITM;604;3,230;0,00;604
ITM;420;0,600;0,00;420
ITM;263;1,817;0,00;263
ITM;211;1,000;0,00;211
ITM;207;3,204;0,00;207
ITM;206;3,369;0,00;206
ITM;205;7,101;0,00;205
ITM;204;7,115;0,00;204
ITM;202;6,915;0,00;202
ITM;168;1,707;0,00;168
ITM;550;2,035;0,00;550
ITM;162;5,456;0,00;162
ITM;213;10,000;0,00;213
ITM;214;5,580;0,00;214
ITM;149;4,858;0,00;149
ITM;148;3,038;0,00;148
ITM;135;5,694;0,00;135
ITM;129;9,524;0,00;129
ITM;128;5,836;0,00;128
ITM;127;23,816;0,00;127
ITM;125;8,558;0,00;125
ITM;109;14,672;0,00;109
ITM;131;12,784;0,00;131
ITM;000;;0,00;
