ADR;1000002;02/01/2024;2400025;0,00;0,00;
ITM;350;1,750;0,00;350
ITM;509;15,170;0,00;509
ITM;508;3,753;0,00;508
ITM;506;19,335;0,00;506
ITM;505;22,404;0,00;505
ITM;503;9,550;0,00;503
ITM;502;25,356;0,00;502
ITM;501;17,510;0,00;501
ITM;373;6,000;0,00;373
ITM;360;4,400;0,00;360
ITM;334;3,435;0,00;334
ITM;329;21,540;0,00;329
ITM;307;2,590;0,00;307
ITM;306;3,430;0,00;306
ITM;273;8,000;0,00;273
ITM;269;8,000;0,00;269
ITM;601;2,315;0,00;601
ITM;640;10,000;0,00;640
ITM;624;2,260;0,00;624
ITM;621;2,570;0,00;621
ITM;414;4,150;0,00;414
ITM;410;0,460;0,00;410
ITM;698;1,533;0,00;698
ITM;632;0,585;0,00;632
ITM;623;4,629;0,00;623
ITM;622;3,204;0,00;622
ITM;613;4,564;0,00;613
ITM;611;4,549;0,00;611
ITM;610;20,130;0,00;610
ITM;604;11,280;0,00;604
ITM;602;4,805;0,00;602
ITM;263;1,752;0,00;263
ITM;207;1,722;0,00;207
ITM;206;1,457;0,00;206
ITM;204;6,120;0,00;204
ITM;202;15,130;0,00;202
ITM;168;1,242;0,00;168
ITM;167;0,646;0,00;167
ITM;162;4,142;0,00;162
ITM;213;10,000;0,00;213
ITM;214;9,460;0,00;214
ITM;135;12,532;0,00;135
ITM;129;13,016;0,00;129
ITM;125;10,442;0,00;125
ITM;131;31,024;0,00;131
ITM;124;3,022;0,00;124
ITM;110;3,274;0,00;110
