ADR;1029052;14/05/2024;002253
ITM;128;0.286;;11
ITM;129;1.814;;11
ITM;135;1.242;;11
ITM;127;0.574;;11
ITM;409;0.96;;11
ITM;502;1.658;;11
ITM;509;0.71;;11
ITM;329;0.46;;11
ITM;616;4.306;;11
ITM;373;1;;11
ITM;263;0.538;;11
ITM;109;0.684;;11
ITM;128;1.162;;11
ITM;148;0.678;;11
ITM;131;0.816;;11
ITM;613;1.46;;11
ITM;610;0.278;;11
ITM;506;0.784;;11
ITM;214;1.256;;11
ITM;250;3.818;;11
ITM;346;0.952;;11
ITM;609;2.316;;11
ITM;216;0.152;;11
ITM;206;0.68;;11
ITM;127;0.952;;11
ITM;621;0.362;;11
ITM;698;0.208;;11
ITM;501;0.78;;11
ITM;623;0.258;;11
ITM;207;0.38;;11
