ADR;1028112;21/06/2024;002659
ITM;027;10;;11
ITM;028;8;;11
ITM;310;0.024;;11
ITM;303;0.018;;11
ITM;364;0.032;;11
ITM;700;0.12;;11
ITM;306;1.15;;11
ITM;402;0.754;;11
ITM;308;0.444;;11
ITM;302;0.818;;11
ITM;329;0.59;;11
ITM;346;0.292;;11
ITM;301;0.032;;11
ITM;313;0.03;;11
ITM;360;0.088;;11
ITM;334;0.296;;11
ITM;322;0.044;;11
ITM;335;0.372;;11
ITM;305;0.174;;11
ITM;162;2.64;;11
ITM;505;0.262;;11
ITM;509;0.604;;11
ITM;506;0.69;;11
ITM;129;0.302;;11
ITM;148;0.114;;11
ITM;128;0.25;;11
ITM;410;0.232;;11
ITM;160;1.444;;11
