ADR;1000002;16/02/2024;001215
ITM;148;0.49;;11
ITM;135;0.674;;11
ITM;698;0.304;;11
ITM;263;0.338;;11
ITM;506;0.498;;11
ITM;508;0.432;;11
ITM;410;0.194;;11
ITM;329;0.368;;11
ITM;346;0.48;;11
ITM;207;0.148;;11
ITM;346;0.368;;11
ITM;508;0.388;;11
ITM;329;0.29;;11
ITM;213;1;;11
ITM;506;0.464;;11
ITM;167;0.124;;11
ITM;148;0.488;;11
ITM;129;0.758;;11
ITM;162;0.424;;11
ITM;168;0.42;;11
ITM;371;1;;11
ITM;373;1;;11
ITM;698;0.25;;11
ITM;168;0.382;;11
ITM;329;0.29;;11
ITM;263;0.32;;11
ITM;162;0.42;;11
ITM;128;0.498;;11
ITM;506;0.538;;11
ITM;346;0.602;;11
ITM;508;0.414;;11
