ADR;1029111;02/01/2024;000425
ITM;346;6.41;;11
ITM;162;1.858;;11
ITM;138;0.194;;11
ITM;361;0.144;;11
ITM;127;0.388;;11
ITM;209;1;;11
ITM;163;1;;11
ITM;501;0.214;;11
ITM;505;0.16;;11
ITM;505;0.418;;11
ITM;506;0.364;;11
ITM;214;1.194;;11
ITM;135;0.962;;11
ITM;346;7.955;;11
ITM;125;0.268;;11
ITM;504;0.322;;11
ITM;506;1.074;;11
ITM;214;0.474;;11
ITM;502;0.868;;11
ITM;135;0.67;;11
ITM;659;4;;11
ITM;506;1.13;;11
ITM;127;1.658;;11
ITM;163;1;;11
ITM;129;1.142;;11
ITM;631;0.378;;11
ITM;504;0.448;;11
ITM;125;1.368;;11
ITM;346;3.604;;11
