ADR;1028112;05/03/2024;001438
ITM;364;0.048;;11
ITM;311;0.104;;11
ITM;301;0.162;;11
ITM;303;0.016;;11
ITM;308;0.214;;11
ITM;310;0.124;;11
ITM;302;0.26;;11
ITM;307;0.062;;11
ITM;334;0.236;;11
ITM;335;0.034;;11
ITM;305;0.128;;11
ITM;306;0.36;;11
ITM;402;0.206;;11
ITM;329;0.436;;11
ITM;927;8;;11
ITM;027;4;;11
ITM;128;0.182;;11
ITM;138;0.142;;11
ITM;162;2.278;;11
ITM;028;12;;11
ITM;167;0.236;;11
ITM;410;0.192;;11
ITM;503;0.16;;11
ITM;609;0.144;;11
ITM;700;0.236;;11
ITM;509;0.156;;11
ITM;506;0.46;;11
ITM;132;0.62;;11
