ADR;1028112;27/02/2024;001356
ITM;162;3.458;;11
ITM;361;0.064;;11
ITM;313;0.014;;11
ITM;303;0.228;;11
ITM;334;0.016;;11
ITM;301;0.052;;11
ITM;310;0.126;;11
ITM;311;0.114;;11
ITM;302;0.12;;11
ITM;322;0.264;;11
ITM;364;0.024;;11
ITM;371;1;;11
ITM;346;0.136;;11
ITM;308;0.102;;11
ITM;306;0.218;;11
ITM;132;1.288;;11
ITM;135;0.492;;11
ITM;624;0.168;;11
ITM;402;0.342;;11
ITM;148;0.174;;11
ITM;329;0.452;;11
ITM;305;0.124;;11
ITM;128;0.266;;11
ITM;125;0.226;;11
ITM;138;0.218;;11
ITM;506;0.184;;11
ITM;129;0.198;;11
ITM;506;0.164;;11
