ADR;1028052;20/06/2024;002651
ITM;305;0.07;;11
ITM;301;0.042;;11
ITM;335;0.314;;11
ITM;402;0.382;;11
ITM;306;0.286;;11
ITM;334;0.13;;11
ITM;302;0.186;;11
ITM;307;0.054;;11
ITM;310;0.088;;11
ITM;311;0.234;;11
ITM;329;0.168;;11
ITM;301;0.02;;11
ITM;360;0.114;;11
ITM;308;0.088;;11
ITM;303;0.056;;11
ITM;700;0.084;;11
ITM;415;0.13;;11
ITM;162;0.31;;11
ITM;127;0.596;;11
ITM;509;0.074;;11
ITM;508;0.222;;11
ITM;125;0.384;;11
ITM;135;0.632;;11
ITM;128;0.39;;11
ITM;148;0.22;;11
ITM;127;0.404;;11
ITM;505;0.116;;11
