ADR;1029052;09/08/2024;003342
ITM;346;0.426;;11
ITM;621;0.194;;11
ITM;610;0.478;;11
ITM;624;0.288;;11
ITM;128;1.234;;11
ITM;263;0.682;;11
ITM;250;1.306;;11
ITM;613;0.23;;11
ITM;346;1.476;;11
ITM;209;6;;11
ITM;168;1.014;;11
ITM;698;0.752;;11
ITM;131;2.564;;11
ITM;410;0.84;;11
ITM;611;0.534;;11
ITM;506;0.556;;11
ITM;501;1.57;;11
ITM;409;0.668;;11
ITM;509;0.288;;11
ITM;632;0.668;;11
ITM;213;5;;11
ITM;505;5.712;;11
ITM;616;1.262;;11
ITM;609;0.67;;11
ITM;414;0.482;;11
ITM;129;0.672;;11
ITM;135;1.122;;11
