ADR;1029052;16/04/2024;001916
ITM;135;1.802;;11
ITM;127;1.006;;11
ITM;129;1.468;;11
ITM;409;1.13;;11
ITM;610;4.008;;11
ITM;604;3.474;;11
ITM;624;2.214;;11
ITM;207;1.694;;11
ITM;622;1.648;;11
ITM;027;40;;11
ITM;610;2.088;;11
ITM;205;1.52;;11
ITM;409;1.342;;11
ITM;250;0.344;;11
ITM;503;0.914;;11
ITM;698;1.016;;11
ITM;609;0.138;;11
ITM;611;0.546;;11
ITM;622;0.324;;11
ITM;207;0.556;;11
ITM;621;1.124;;11
ITM;613;2.236;;11
ITM;216;0.81;;11
ITM;624;0.872;;11
ITM;632;1.172;;11
ITM;168;0.836;;11
ITM;604;2.336;;11
ITM;263;0.642;;11
ITM;206;0.46;;11
