ADR;;08/01/2024;000505
ITM;128;0.25;;11
ITM;129;0.414;;11
ITM;148;0.316;;11
ITM;502;0.72;;11
ITM;927;10;;11
ITM;632;1;;11
ITM;506;0.362;;11
ITM;346;3.194;;11
ITM;162;0.404;;11
ITM;509;0.22;;11
ITM;501;0.334;;11
