ADR;1029111;31/03/2024;001753
ITM;329;5.41;;11
ITM;129;5.306;;11
ITM;214;5.35;;11
ITM;214;6.45;;11
ITM;109;8.075;;11
ITM;109;7.49;;11
ITM;121;12.045;;11
ITM;131;15.035;;11
ITM;651;4;;11
ITM;640;4;;11
ITM;269;2;;11
ITM;273;2;;11
ITM;601;6.19;;11
ITM;463;2.03;;11
ITM;332;0.888;;11
ITM;350;1.426;;11
ITM;353;0.956;;11
ITM;361;1.388;;11
ITM;415;5.122;;11
ITM;307;2.306;;11
ITM;306;6.87;;11
ITM;410;2.2;;11
ITM;604;3.346;;11
ITM;604;6.58;;11
ITM;610;7.105;;11
ITM;414;5.214;;11
ITM;611;4.688;;11
ITM;168;3.062;;11
ITM;623;5.478;;11
ITM;610;7.9;;11
ITM;204;7.57;;11
ITM;202;3.968;;11
ITM;263;1.908;;11
ITM;632;2.992;;11
ITM;207;1.398;;11
ITM;622;3.246;;11
ITM;206;2.922;;11
ITM;263;1.88;;11
ITM;621;4.632;;11
ITM;205;7.36;;11
ITM;209;12;;11
ITM;409;2.09;;11
ITM;503;5.73;;11
ITM;508;6.505;;11
ITM;505;8.85;;11
ITM;501;8.7;;11
ITM;505;8.32;;11
ITM;506;8.415;;11
ITM;505;8.295;;11
ITM;502;8.245;;11
ITM;506;8.11;;11
ITM;509;8.145;;11
ITM;509;8.28;;11
ITM;509;7.89;;11
