ADR;1029052;01/03/2024;001385
ITM;927;20;;11
ITM;027;20;;11
ITM;506;1.678;;11
ITM;402;0.706;;11
ITM;329;0.382;;11
ITM;308;0.152;;11
ITM;301;0.21;;11
ITM;207;0.6;;11
ITM;624;0.516;;11
ITM;652;1;;11
ITM;213;4;;11
ITM;632;0.376;;11
ITM;621;0.238;;11
ITM;216;0.482;;11
ITM;505;1.512;;11
ITM;165;1;;11
ITM;410;0.384;;11
ITM;509;0.426;;11
ITM;503;0.428;;11
ITM;305;0.422;;11
ITM;360;0.258;;11
ITM;302;0.336;;11
ITM;646;1;;11
ITM;263;0.886;;11
ITM;311;0.13;;11
ITM;131;1.782;;11
ITM;508;0.176;;11
ITM;250;0.728;;11
ITM;698;0.55;;11
ITM;202;0.508;;11
ITM;214;0.832;;11
