ADR;1000002;04/03/2024;001425
ITM;148;0.126;;11
ITM;135;0.366;;11
ITM;128;0.1;;11
ITM;129;0.588;;11
ITM;303;0.022;;11
ITM;451;0.074;;11
ITM;302;0.104;;11
ITM;360;0.11;;11
ITM;306;0.066;;11
ITM;329;1.202;;11
ITM;346;0.24;;11
ITM;409;0.064;;11
ITM;506;0.786;;11
ITM;162;0.182;;11
ITM;129;0.84;;11
ITM;135;0.244;;11
ITM;329;0.608;;11
ITM;505;0.368;;11
ITM;301;0.052;;11
ITM;402;0.062;;11
ITM;305;0.056;;11
ITM;311;0.138;;11
ITM;308;0.132;;11
ITM;371;2;;11
ITM;216;0.096;;11
ITM;307;0.076;;11
ITM;125;0.304;;11
