ADR;1029052;26/04/2024;002032
ITM;128;0.272;;11
ITM;129;2.084;;11
ITM;135;1.716;;11
ITM;213;15;;11
ITM;214;0.76;;11
ITM;601;0.84;;11
ITM;621;1.216;;11
ITM;209;8;;11
ITM;420;0.576;;11
ITM;502;1.554;;11
ITM;506;1.37;;11
ITM;346;1.158;;11
ITM;503;0.468;;11
ITM;250;1.722;;11
ITM;263;1.302;;11
ITM;414;1.174;;11
ITM;624;2.682;;11
ITM;508;2.062;;11
ITM;616;1.204;;11
ITM;609;1.82;;11
ITM;128;0.576;;11
ITM;613;0.442;;11
ITM;698;1.138;;11
ITM;622;0.61;;11
ITM;623;1.774;;11
ITM;505;0.248;;11
ITM;206;0.596;;11
ITM;409;0.912;;11
ITM;216;0.152;;11
ITM;148;0.298;;11
