ADR;1028112;19/07/2024;003065
ITM;250;3.3;;11
ITM;162;0.602;;11
ITM;621;1.63;;11
ITM;335;0.032;;11
ITM;609;5.554;;11
ITM;616;6.905;;11
ITM;624;2.662;;11
ITM;623;2.78;;11
ITM;613;2.7;;11
ITM;611;5.092;;11
ITM;213;14;;11
ITM;322;0.016;;11
ITM;505;0.05;;11
ITM;334;0.032;;11
ITM;129;0.106;;11
ITM;509;0.234;;11
ITM;506;0.454;;11
ITM;508;0.082;;11
ITM;402;0.218;;11
ITM;302;0.416;;11
ITM;311;0.138;;11
ITM;306;0.438;;11
ITM;308;0.198;;11
ITM;361;0.034;;11
ITM;303;0.134;;11
ITM;329;0.262;;11
ITM;346;0.046;;11
ITM;160;0.51;;11
ITM;503;0.144;;11
ITM;632;0.564;;11
ITM;138;0.602;;11
ITM;135;0.276;;11
ITM;148;0.148;;11
ITM;631;0.538;;11
