ADR;;05/01/2024;000468
ITM;927;8;;11
ITM;346;5.55;;11
ITM;305;0.176;;11
ITM;402;0.258;;11
ITM;329;0.352;;11
ITM;372;1;;11
ITM;371;2;;11
ITM;213;2;;11
ITM;128;0.442;;11
ITM;129;0.544;;11
ITM;162;1.292;;11
ITM;609;1.516;;11
