ADR;1028052;10/10/2024;004063
ITM;127;0.164;;11
ITM;127;0.528;;11
ITM;128;0.3;;11
ITM;214;0.136;;11
ITM;135;0.598;;11
ITM;129;0.394;;11
ITM;129;0.72;;11
ITM;162;0.976;;11
ITM;162;0.476;;11
ITM;207;0.442;;11
ITM;162;0.746;;11
ITM;501;0.146;;11
ITM;624;0.16;;11
ITM;502;0.124;;11
ITM;127;1.17;;11
ITM;135;0.744;;11
ITM;125;0.202;;11
ITM;509;0.266;;11
ITM;506;0.248;;11
ITM;505;0.28;;11
ITM;127;0.254;;11
ITM;306;0.22;;11
ITM;311;0.354;;11
ITM;408;0.18;;11
ITM;302;0.088;;11
ITM;329;0.262;;11
ITM;402;0.162;;11
ITM;310;0.078;;11
ITM;306;0.33;;11
ITM;308;0.08;;11
ITM;700;0.124;;11
