ADR;1028112;25/10/2024;004234
ITM;927;9;;11
ITM;162;1.212;;11
ITM;410;0.216;;11
ITM;632;1.038;;11
ITM;409;0.718;;11
ITM;313;0.026;;11
ITM;334;0.016;;11
ITM;506;0.056;;11
ITM;505;0.132;;11
ITM;209;12;;11
ITM;308;0.046;;11
ITM;303;0.016;;11
ITM;138;0.19;;11
ITM;148;0.16;;11
ITM;624;1.666;;11
ITM;700;0.042;;11
ITM;301;0.044;;11
ITM;407;0.234;;11
ITM;360;0.062;;11
ITM;310;0.032;;11
ITM;306;0.364;;11
ITM;408;0.188;;11
ITM;509;0.114;;11
ITM;322;0.016;;11
ITM;302;0.078;;11
ITM;402;0.592;;11
ITM;329;0.242;;11
ITM;346;0.056;;11
ITM;129;0.592;;11
ITM;135;0.242;;11
