ADR;1028052;14/03/2024;001549
ITM;508;0.194;;11
ITM;509;0.05;;11
ITM;506;0.102;;11
ITM;503;0.036;;11
ITM;501;0.252;;11
ITM;414;0.074;;11
ITM;162;0.428;;11
ITM;148;0.166;;11
ITM;127;0.766;;11
ITM;127;0.398;;11
ITM;129;0.424;;11
ITM;135;0.786;;11
ITM;125;1.244;;11
ITM;632;0.366;;11
ITM;301;0.104;;11
ITM;308;0.052;;11
ITM;311;0.042;;11
ITM;322;0.032;;11
ITM;307;0.116;;11
ITM;305;0.11;;11
ITM;302;0.068;;11
ITM;310;0.062;;11
ITM;360;0.122;;11
ITM;335;0.178;;11
ITM;306;0.232;;11
ITM;415;0.094;;11
ITM;375;0.236;;11
