ADR;;04/01/2024;000457
ITM;138;0.328;;11
ITM;346;4.87;;11
ITM;504;0.176;;11
ITM;162;1.086;;11
ITM;509;0.12;;11
ITM;505;0.14;;11
ITM;506;0.464;;11
ITM;372;2;;11
ITM;125;0.45;;11
ITM;127;0.18;;11
ITM;128;0.134;;11
ITM;148;0.324;;11
