ADR;1028052;09/09/2024;003689
ITM;700;0.03;;11
ITM;451;0.038;;11
ITM;310;0.27;;11
ITM;305;0.08;;11
ITM;329;0.206;;11
ITM;311;0.064;;11
ITM;360;0.16;;11
ITM;402;0.388;;11
ITM;334;0.16;;11
ITM;306;0.412;;11
ITM;616;1.762;;11
ITM;214;0.204;;11
ITM;162;0.538;;11
ITM;506;0.386;;11
ITM;508;0.266;;11
ITM;216;1.016;;11
ITM;506;0.692;;11
ITM;505;0.304;;11
ITM;127;0.794;;11
ITM;162;0.636;;11
ITM;162;0.626;;11
ITM;216;0.26;;11
ITM;162;0.262;;11
ITM;129;0.46;;11
ITM;127;0.678;;11
ITM;129;0.878;;11
ITM;135;0.488;;11
ITM;127;0.17;;11
ITM;127;0.724;;11
ITM;128;0.59;;11
