ADR;1000001;02/10/2024;003962
ITM;313;0.038;;11
ITM;308;0.218;;11
ITM;505;0.198;;11
ITM;508;0.058;;11
ITM;306;0.19;;11
ITM;303;0.062;;11
ITM;148;0.378;;11
ITM;506;23.5;;11
ITM;506;0.188;;11
ITM;138;0.476;;11
ITM;149;0.456;;11
ITM;129;1.78;;11
ITM;475;1;;11
ITM;375;0.136;;11
ITM;509;0.08;;11
ITM;302;0.226;;11
ITM;322;0.106;;11
ITM;329;0.4;;11
ITM;311;0.118;;11
ITM;700;0.156;;11
ITM;451;0.044;;11
ITM;641;1;;11
ITM;334;0.284;;11
ITM;329;0.4;;11
ITM;305;0.068;;11
ITM;168;1.38;;11
ITM;132;0.48;;11
ITM;148;0.94;;11
