ADR;1028052;04/06/2024;002507
ITM;609;2.654;;11
ITM;506;0.256;;11
ITM;377;1;;11
ITM;700;0.034;;11
ITM;313;0.036;;11
ITM;451;0.022;;11
ITM;303;0.014;;11
ITM;306;0.018;;11
ITM;310;0.046;;11
ITM;308;0.024;;11
ITM;302;0.138;;11
ITM;334;0.042;;11
ITM;402;0.026;;11
ITM;329;0.182;;11
ITM;214;0.214;;11
ITM;127;1.104;;11
ITM;621;0.816;;11
ITM;127;0.716;;11
ITM;162;1.128;;11
ITM;162;0.59;;11
ITM;621;0.686;;11
ITM;250;0.778;;11
ITM;125;0.47;;11
ITM;206;0.348;;11
ITM;502;0.806;;11
ITM;409;0.128;;11
ITM;148;0.434;;11
