ADR;1028112;20/08/2024;003460
ITM;361;0.036;;11
ITM;301;0.044;;11
ITM;306;0.134;;11
ITM;302;0.44;;11
ITM;311;0.018;;11
ITM;329;0.18;;11
ITM;346;0.178;;11
ITM;313;0.056;;11
ITM;334;0.062;;11
ITM;402;0.106;;11
ITM;310;0.128;;11
ITM;250;0.394;;11
ITM;407;0.064;;11
ITM;305;0.142;;11
ITM;308;0.152;;11
ITM;132;1.574;;11
ITM;160;0.486;;11
ITM;148;0.036;;11
ITM;125;0.248;;11
ITM;213;3;;11
ITM;623;0.21;;11
ITM;128;0.648;;11
ITM;162;1.168;;11
ITM;621;0.202;;11
ITM;609;1.242;;11
ITM;624;1.146;;11
ITM;506;0.274;;11
ITM;509;0.308;;11
ITM;505;0.07;;11
ITM;508;1.59;;11
