ADR;1028052;15/04/2024;001898
ITM;307;0.108;;11
ITM;610;1.082;;11
ITM;202;0.618;;11
ITM;506;0.25;;11
ITM;148;0.142;;11
ITM;250;0.306;;11
ITM;353;0.156;;11
ITM;621;0.636;;11
ITM;135;0.402;;11
ITM;204;0.288;;11
ITM;125;0.466;;11
ITM;129;0.744;;11
ITM;624;0.264;;11
ITM;414;0.088;;11
ITM;621;0.766;;11
ITM;306;0.376;;11
ITM;334;0.3;;11
ITM;335;0.28;;11
ITM;306;0.204;;11
ITM;302;0.158;;11
ITM;329;0.286;;11
ITM;308;0.13;;11
ITM;360;0.222;;11
ITM;301;0.088;;11
ITM;364;0.056;;11
ITM;451;0.052;;11
ITM;402;0.11;;11
