ADR;1000001;09/08/2024;003339
ITM;624;1.698;;11
ITM;613;2.384;;11
ITM;623;1.07;;11
ITM;621;1.972;;11
ITM;623;2.4;;11
ITM;414;0.88;;11
ITM;168;1.8;;11
ITM;168;1.648;;11
ITM;698;1.448;;11
ITM;613;1.73;;11
ITM;623;2.494;;11
ITM;613;2.37;;11
ITM;621;2.272;;11
ITM;698;1.684;;11
ITM;622;1.59;;11
ITM;698;1.384;;11
ITM;168;2.208;;11
ITM;206;1.654;;11
ITM;209;17;;11
ITM;505;0.112;;11
ITM;161;0.262;;11
ITM;502;0.776;;11
ITM;214;0.44;;11
ITM;163;1;;11
ITM;509;0.044;;11
ITM;162;0.5;;11
ITM;508;0.116;;11
ITM;135;0.738;;11
ITM;125;0.152;;11
ITM;129;0.604;;11
ITM;138;0.418;;11
ITM;302;0.088;;11
ITM;364;0.066;;11
ITM;301;0.086;;11
ITM;334;0.02;;11
ITM;329;0.08;;11
ITM;402;0.146;;11
ITM;375;0.318;;11
