ADR;1000001;15/04/2024;001893
ITM;624;0.548;;11
ITM;214;0.846;;11
ITM;613;1.17;;11
ITM;623;1.83;;11
ITM;250;3.61;;11
ITM;216;3.624;;11
ITM;207;0.94;;11
ITM;209;8;;11
ITM;216;6.47;;11
ITM;698;2.12;;11
ITM;353;0.17;;11
ITM;623;4.08;;11
ITM;127;0.736;;11
ITM;125;0.382;;11
ITM;129;0.516;;11
ITM;508;0.084;;11
ITM;301;0.12;;11
ITM;311;0.086;;11
ITM;501;0.054;;11
ITM;135;0.67;;11
ITM;502;0.28;;11
ITM;364;0.096;;11
ITM;375;0.252;;11
ITM;322;0.138;;11
ITM;308;0.212;;11
ITM;402;0.15;;11
ITM;360;0.056;;11
ITM;135;0.126;;11
ITM;129;0.224;;11
ITM;125;0.388;;11
ITM;125;0.408;;11
ITM;148;0.236;;11
