ADR;1028052;06/06/2024;002546
ITM;135;0.692;;11
ITM;128;0.128;;11
ITM;168;0.282;;11
ITM;138;0.294;;11
ITM;125;0.51;;11
ITM;129;0.574;;11
ITM;609;1.746;;11
ITM;131;0.372;;11
ITM;162;1.326;;11
ITM;162;0.28;;11
ITM;402;0.294;;11
ITM;308;0.096;;11
ITM;305;0.146;;11
ITM;306;0.218;;11
ITM;322;0.028;;11
ITM;301;0.09;;11
ITM;310;0.072;;11
ITM;360;0.032;;11
ITM;303;0.092;;11
ITM;307;0.094;;11
ITM;322;0.038;;11
ITM;135;0.682;;11
ITM;160;0.718;;11
ITM;148;0.14;;11
ITM;402;0.242;;11
ITM;302;0.108;;11
ITM;329;0.106;;11
ITM;306;0.054;;11
ITM;308;0.032;;11
ITM;360;0.094;;11
