ADR;;05/01/2024;000467
ITM;503;0.48;;11
ITM;346;2.18;;11
ITM;610;0.078;;11
ITM;506;0.354;;11
ITM;162;0.348;;11
ITM;128;0.176;;11
ITM;148;0.562;;11
ITM;125;0.818;;11
ITM;127;0.616;;11
ITM;135;0.948;;11
ITM;138;0.91;;11
