ADR;1028112;02/04/2024;001775
ITM;334;0.11;;11
ITM;301;0.032;;11
ITM;307;0.134;;11
ITM;335;0.138;;11
ITM;308;0.286;;11
ITM;329;0.11;;11
ITM;303;0.024;;11
ITM;361;0.094;;11
ITM;311;0.058;;11
ITM;302;0.202;;11
ITM;305;0.204;;11
ITM;313;0.098;;11
ITM;700;0.124;;11
ITM;402;0.28;;11
ITM;306;0.582;;11
ITM;346;1.398;;11
ITM;631;1.082;;11
ITM;164;2;;11
ITM;138;0.14;;11
ITM;135;0.444;;11
ITM;125;0.184;;11
ITM;506;2.352;;11
ITM;505;0.226;;11
ITM;641;1;;11
ITM;167;0.128;;11
ITM;148;0.228;;11
ITM;509;0.182;;11
ITM;162;2.328;;11
ITM;129;0.484;;11
