ADR;1028052;26/03/2024;001691
ITM;135;1.048;;11
ITM;129;0.71;;11
ITM;127;0.252;;11
ITM;128;0.15;;11
ITM;127;0.16;;11
ITM;148;0.204;;11
ITM;138;0.222;;11
ITM;162;0.634;;11
ITM;506;0.146;;11
ITM;506;0.146;;11
ITM;509;0.22;;11
ITM;162;1.876;;11
ITM;214;0.114;;11
ITM;609;0.536;;11
ITM;360;0.064;;11
ITM;361;0.072;;11
ITM;334;0.284;;11
ITM;329;0.342;;11
ITM;310;0.178;;11
ITM;305;0.086;;11
ITM;306;0.158;;11
ITM;308;0.096;;11
ITM;313;0.056;;11
ITM;322;0.02;;11
ITM;640;1;;11
ITM;371;3;;11
ITM;506;0.136;;11
ITM;508;0.166;;11
ITM;125;0.124;;11
ITM;125;0.124;;11
ITM;214;0.934;;11
ITM;250;0.874;;11
ITM;602;0.976;;11
ITM;162;0.364;;11
ITM;162;0.076;;11
ITM;302;0.024;;11
ITM;301;0.016;;11
ITM;415;0.016;;11
ITM;303;0.024;;11
