ADR;1000002;07/03/2024;001467
ITM;125;0.174;;11
ITM;135;0.258;;11
ITM;148;0.148;;11
ITM;128;0.168;;11
ITM;250;0.164;;11
ITM;502;0.41;;11
ITM;162;0.516;;11
ITM;329;0.584;;11
ITM;371;2;;11
ITM;308;0.434;;11
ITM;506;0.304;;11
ITM;329;0.368;;11
ITM;402;0.478;;11
ITM;372;1;;11
ITM;301;0.05;;11
ITM;335;0.264;;11
ITM;346;0.188;;11
ITM;700;0.042;;11
ITM;306;0.256;;11
ITM;502;0.3;;11
ITM;303;0.088;;11
ITM;313;0.028;;11
ITM;311;0.05;;11
ITM;360;0.072;;11
ITM;322;0.056;;11
ITM;501;0.232;;11
ITM;162;0.41;;11
