ADR;1000001;14/10/2024;004092
ITM;506;0.988;;11
ITM;508;0.128;;11
ITM;509;0.186;;11
ITM;311;0.208;;11
ITM;451;0.064;;11
ITM;329;0.298;;11
ITM;416;0.11;;11
ITM;306;0.27;;11
ITM;407;0.152;;11
ITM;334;0.23;;11
ITM;302;0.114;;11
ITM;303;0.142;;11
ITM;360;0.112;;11
ITM;301;0.114;;11
ITM;295;2;;11
ITM;360;0.112;;11
ITM;375;0.382;;11
ITM;313;0.128;;11
ITM;308;0.224;;11
ITM;698;1.388;;11
ITM;698;1.388;;11
ITM;505;0.09;;11
ITM;313;0.054;;11
ITM;311;0.094;;11
ITM;301;0.222;;11
ITM;302;0.182;;11
ITM;334;0.114;;11
ITM;162;0.936;;11
ITM;308;0.14;;11
ITM;506;0.212;;11
ITM;375;0.142;;11
ITM;125;0.418;;11
ITM;135;1.24;;11
ITM;127;0.256;;11
ITM;129;0.344;;11
ITM;128;0.184;;11
