ADR;1028112;28/05/2024;002423
ITM;407;0.06;;11
ITM;313;0.066;;11
ITM;346;0.994;;11
ITM;311;0.018;;11
ITM;408;0.02;;11
ITM;308;0.14;;11
ITM;360;0.068;;11
ITM;329;0.436;;11
ITM;301;0.048;;11
ITM;306;0.2;;11
ITM;303;0.146;;11
ITM;334;0.02;;11
ITM;402;0.192;;11
ITM;364;0.012;;11
ITM;302;0.178;;11
ITM;361;0.022;;11
ITM;322;0.02;;11
ITM;503;0.028;;11
ITM;506;0.446;;11
ITM;166;0.498;;11
ITM;700;0.28;;11
ITM;148;0.052;;11
ITM;162;2.142;;11
ITM;509;0.082;;11
ITM;505;0.106;;11
ITM;129;0.17;;11
ITM;160;0.226;;11
ITM;138;0.818;;11
ITM;624;0.328;;11
