ADR;1029052;25/10/2024;004238
ITM;129;0.64;;11
ITM;135;0.504;;11
ITM;501;0.728;;11
ITM;131;1.364;;11
ITM;250;1.646;;11
ITM;216;2.644;;11
ITM;506;0.876;;11
ITM;263;0.864;;11
ITM;502;0.304;;11
ITM;613;0.424;;11
ITM;609;1.17;;11
ITM;621;0.798;;11
ITM;209;10;;11
ITM;420;0.582;;11
ITM;622;0.326;;11
ITM;109;0.934;;11
ITM;508;0.476;;11
ITM;346;2.338;;11
ITM;128;0.846;;11
ITM;207;0.672;;11
ITM;621;1.532;;11
ITM;409;1.154;;11
ITM;213;11;;11
ITM;632;1.374;;11
ITM;624;0.746;;11
ITM;509;0.604;;11
ITM;168;1.636;;11
ITM;601;2.408;;11
