ADR;1028052;26/08/2024;003532
ITM;308;0.078;;11
ITM;306;0.414;;11
ITM;334;0.034;;11
ITM;329;0.172;;11
ITM;313;0.058;;11
ITM;311;0.026;;11
ITM;305;0.018;;11
ITM;700;0.054;;11
ITM;303;0.15;;11
ITM;135;0.774;;11
ITM;623;0.57;;11
ITM;125;0.498;;11
ITM;206;0.146;;11
ITM;129;0.612;;11
ITM;202;0.176;;11
ITM;609;0.702;;11
ITM;168;0.17;;11
ITM;128;0.278;;11
ITM;162;0.738;;11
ITM;506;0.686;;11
ITM;148;0.454;;11
ITM;127;0.792;;11
ITM;267;1;;11
ITM;216;0.096;;11
ITM;409;0.632;;11
ITM;205;0.772;;11
ITM;209;3;;11
ITM;410;0.242;;11
ITM;609;0.702;;11
