ADR;1029052;05/04/2024;001817
ITM;129;3.176;;11
ITM;135;1.966;;11
ITM;168;0.19;;11
ITM;624;0.19;;11
ITM;131;0.516;;11
ITM;623;0.202;;11
ITM;206;0.64;;11
ITM;609;0.158;;11
ITM;506;1.552;;11
ITM;505;0.626;;11
ITM;662;1;;11
ITM;409;0.32;;11
ITM;611;0.12;;11
ITM;128;0.164;;11
ITM;250;1.268;;11
ITM;338;0.32;;11
ITM;162;2.736;;11
ITM;109;0.898;;11
ITM;509;1.374;;11
ITM;346;3.16;;11
ITM;506;1.578;;11
ITM;127;0.448;;11
ITM;346;3.344;;11
ITM;410;0.404;;11
ITM;698;0.45;;11
ITM;214;0.4;;11
ITM;207;1.042;;11
ITM;263;0.968;;11
ITM;209;13;;11
