ADR;1028112;25/06/2024;002701
ITM;420;1.98;;11
ITM;162;1.62;;11
ITM;346;0.106;;11
ITM;364;0.024;;11
ITM;310;0.21;;11
ITM;301;0.024;;11
ITM;311;0.056;;11
ITM;700;0.026;;11
ITM;305;0.068;;11
ITM;334;0.036;;11
ITM;306;0.14;;11
ITM;308;0.17;;11
ITM;408;0.448;;11
ITM;402;0.486;;11
ITM;302;0.356;;11
ITM;329;0.156;;11
ITM;335;0.294;;11
ITM;135;2.252;;11
ITM;129;1.284;;11
ITM;125;0.478;;11
ITM;138;1.776;;11
ITM;148;0.424;;11
ITM;377;1;;11
ITM;286;3;;11
ITM;132;0.836;;11
ITM;601;1.258;;11
ITM;409;1.764;;11
ITM;162;0.564;;11
ITM;508;1.338;;11
ITM;209;2;;11
ITM;303;0.024;;11
ITM;506;0.458;;11
ITM;506;0.458;;11
ITM;509;0.202;;11
