ADR;;08/01/2024;000490
ITM;505;0.216;;11
ITM;346;3.78;;11
ITM;509;0.084;;11
ITM;508;0.102;;11
ITM;214;0.298;;11
ITM;506;0.652;;11
ITM;129;0.832;;11
ITM;148;0.198;;11
ITM;138;0.34;;11
ITM;125;0.536;;11
ITM;135;1.054;;11
