ADR;1028052;01/07/2024;002784
ITM;302;0.126;;11
ITM;360;0.132;;11
ITM;307;0.178;;11
ITM;306;0.042;;11
ITM;308;0.092;;11
ITM;329;0.292;;11
ITM;451;0.036;;11
ITM;303;0.014;;11
ITM;700;0.066;;11
ITM;402;0.094;;11
ITM;322;0.03;;11
ITM;305;0.204;;11
ITM;301;0.052;;11
ITM;310;0.044;;11
ITM;306;0.144;;11
ITM;305;0.114;;11
ITM;308;0.08;;11
ITM;303;0.056;;11
ITM;360;0.08;;11
ITM;138;0.166;;11
ITM;148;0.178;;11
ITM;125;0.396;;11
ITM;250;0.756;;11
ITM;409;1.106;;11
ITM;129;0.274;;11
ITM;631;0.322;;11
ITM;214;0.128;;11
