ADR;1027052;03/09/2024;003618
ITM;900;3.998;;11
ITM;225;2.172;;11
ITM;283;7;;11
ITM;270;7;;11
ITM;284;11;;11
ITM;277;13;;11
ITM;662;8;;11
ITM;681;10;;11
ITM;292;15;;11
ITM;684;21;;11
ITM;285;32;;11
ITM;683;32;;11
ITM;294;14;;11
ITM;295;17;;11
ITM;684;16;;11
ITM;664;2.958;;11
ITM;620;1.668;;11
ITM;620;6.56;;11
ITM;618;14.095;;11
ITM;618;1.574;;11
ITM;225;7.93;;11
ITM;226;3.286;;11
ITM;683;32;;11
ITM;619;11.76;;11
ITM;619;0.408;;11
ITM;619;12.915;;11
ITM;609;4.114;;11
ITM;262;1;;11
ITM;743;1;;11
ITM;191;1;;11
ITM;475;2;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;927;999;;11
ITM;604;4.734;;11
ITM;027;54;;11
ITM;131;3.22;;11
ITM;346;0.016;;11
ITM;295;15;;11
ITM;684;15;;11
ITM;683;4;;11
ITM;681;11;;11
ITM;329;1.232;;11
ITM;415;0.506;;11
ITM;303;0.408;;11
ITM;700;1.608;;11
ITM;407;2.49;;11
ITM;364;0.116;;11
ITM;322;0.76;;11
ITM;301;0.24;;11
ITM;402;0.646;;11
ITM;700;0.46;;11
ITM;329;0.484;;11
ITM;407;0.784;;11
ITM;334;1.072;;11
ITM;302;1.46;;11
ITM;131;0.328;;11
ITM;604;0.07;;11
ITM;927;157;;11
ITM;131;0.106;;11
ITM;128;1.072;;11
ITM;110;1.17;;11
ITM;294;10;;11
ITM;292;12;;11
ITM;283;10;;11
ITM;278;2;;11
ITM;277;4;;11
ITM;281;3;;11
ITM;279;3;;11
ITM;285;16;;11
ITM;284;8;;11
ITM;270;18;;11
ITM;276;2;;11
ITM;275;4;;11
ITM;618;1.604;;11
ITM;620;0.852;;11
ITM;662;7;;11
ITM;226;0.472;;11
ITM;225;1.038;;11
ITM;619;3.302;;11
ITM;254;14;;11
ITM;664;2.536;;11
ITM;661;1.588;;11
ITM;475;5;;11
ITM;474;1;;11
ITM;291;1;;11
ITM;660;1.806;;11
ITM;264;1;;11
ITM;640;3;;11
ITM;110;2.834;;11
ITM;651;2;;11
ITM;325;0.768;;11
ITM;324;0.562;;11
ITM;327;6.05;;11
ITM;994;1.032;;11
ITM;405;1;;11
ITM;332;0.324;;11
ITM;351;0.352;;11
ITM;269;7;;11
ITM;268;9;;11
ITM;888;2.43;;11
ITM;463;2.242;;11
ITM;406;1;;11
ITM;191;8;;11
ITM;329;5.276;;11
ITM;407;12.095;;11
ITM;408;3.606;;11
ITM;327;9.24;;11
ITM;654;12;;11
ITM;655;25;;11
ITM;927;11;;11
ITM;927;999;;11
ITM;810;500;;11
ITM;810;900;;11
ITM;811;5;;11
ITM;811;50;;11
ITM;820;4;;11
ITM;900;9.035;;11
ITM;346;12.095;;11
