ADR;1028111;20/05/2024;002325
ITM;506;3.49;;11
ITM;509;3.948;;11
ITM;505;4.234;;11
ITM;501;4.302;;11
ITM;506;3.518;;11
ITM;632;0.73;;11
ITM;604;3.426;;11
ITM;604;3.43;;11
ITM;509;4.26;;11
ITM;505;4.538;;11
ITM;501;4.594;;11
ITM;204;3.446;;11
ITM;601;1.598;;11
ITM;611;2.342;;11
ITM;624;2.08;;11
ITM;502;4.416;;11
ITM;502;4.348;;11
ITM;610;4.438;;11
ITM;509;4.394;;11
ITM;202;3.136;;11
ITM;610;4.654;;11
ITM;622;1.106;;11
ITM;622;1.396;;11
ITM;207;1.186;;11
ITM;698;1.318;;11
ITM;206;1.398;;11
ITM;624;2.638;;11
